data_type;cruise_id;profile_id;sample_id;sample_min_depth;sample_max_depth;profile_depth_min;profile_depth_max;profile_date_time;cast_net_op_m2;subsample_id;sample_segment_length;subsample_count_type;subsample_size_fraction_min;subsample_size_fraction_max;site_lat_start_decimal;site_lon_start_decimal;sample_volume_filtered;subsample_all_shells_present_were_counted;total_of_forams_counted_ind;sampling_device_type;b_digitata_VT;b_pumilio_VT;b_variabilis_VT;c_nitida_VT;d_anfracta_VT;g_adamsi_VT;g_bulloides_VT;g_calida_VT;g_cavernula_VT;g_conglobatus_VT;g_conglomerata_VT;g_crassaformis_VT;g_elongatus_VT;g_falconensis_VT;g_glutinata_VT;g_hexagona_VT;g_hirsuta_VT;g_inflata_VT;g_cultrata_VT;g_minuta_VT;g_ruber_albus_VT;g_ruber_albus_or_elongatus_VT;g_ruber_any_VT;g_ruber_ruber_VT;g_rubescens_VT;g_scitula_VT;g_siphonifera_VT;g_tenellus_VT;g_theyeri_VT;g_truncatulinoides_VT;g_truncatulinoides_left_VT;g_truncatulinoides_right_VT;g_tumida_VT;g_ungulata_VT;g_uvula_VT;n_vivans_VT;h_digitata_VT;h_pelagica_VT;n_dutertrei_VT;n_incompta_VT;n_pachyderma_VT;n_pachyderma_incompta_VT;o_riedeli_VT;o_universa_VT;p_obliquiloculata_VT;s_dehiscens_VT;t_clarkei_VT;t_fleisheri_VT;t_humilis_VT;t_iota_VT;t_parkerae_VT;t_quinqueloba_VT;t_sacculifer_VT;t_sacculifer_no_sac_VT;t_sacculifer_sac_VT;UnID_VT
39;Net;RinaldoDohrn;L20_RinaldoDohrn_11_1;L20_11_3;100;200;0;300;23/05/1979;NA;L20_11_3;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;37;0;0;0;0;0;0;23;30;0;0;12;0;0;0;0;2;0;0;0;3;0;0;33;0;0;0;0;0;0;0;9;5;0;0;0;0;5;0;0;0;0;0;0;0;39;0;1;0;0
40;Net;RinaldoDohrn;L20_RinaldoDohrn_11_1;L20_11_4;200;300;0;300;23/05/1979;NA;L20_11_4;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;7;0;0;0;0;0;0;5;5;0;0;2;0;0;0;0;0;0;0;0;3;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;9;0;0;0;0
41;Net;RinaldoDohrn;L20_RinaldoDohrn_12_1;L20_12_1;0;20;0;300;06/06/1979;NA;L20_12_1;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;1;0;0
42;Net;RinaldoDohrn;L20_RinaldoDohrn_12_1;L20_12_2;20;100;0;300;06/06/1979;NA;L20_12_2;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
43;Net;RinaldoDohrn;L20_RinaldoDohrn_12_1;L20_12_3;100;200;0;300;06/06/1979;NA;L20_12_3;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;10;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;0
44;Net;RinaldoDohrn;L20_RinaldoDohrn_12_1;L20_12_4;200;300;0;300;06/06/1979;NA;L20_12_4;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
45;Net;RinaldoDohrn;L20_RinaldoDohrn_13_1;L20_13_1;0;20;0;300;20/07/1979;NA;L20_13_1;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0
46;Net;RinaldoDohrn;L20_RinaldoDohrn_13_1;L20_13_2;20;100;0;300;20/07/1979;NA;L20_13_2;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0
47;Net;RinaldoDohrn;L20_RinaldoDohrn_13_1;L20_13_3;100;200;0;300;20/07/1979;NA;L20_13_3;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;3;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;0;2;0;0
48;Net;RinaldoDohrn;L20_RinaldoDohrn_13_1;L20_13_4;200;300;0;300;20/07/1979;NA;L20_13_4;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
49;Net;RinaldoDohrn;L20_RinaldoDohrn_14_1;L20_14_1;0;20;0;300;07/08/1979;NA;L20_14_1;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;0;11;0;0
50;Net;RinaldoDohrn;L20_RinaldoDohrn_14_1;L20_14_2;20;100;0;300;07/08/1979;NA;L20_14_2;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;19;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0
51;Net;RinaldoDohrn;L20_RinaldoDohrn_14_1;L20_14_3;100;200;0;300;07/08/1979;NA;L20_14_3;NA;Raw;116;NA;40.7;15.08;1000;1;NA;Net;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;7;0;0;0;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0
